boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
11,18,23,33,42,7,12
6,23,31,43,50,4,10
10,26,27,41,44,1,9
27,29,32,39,46,4,11
23,30,31,44,50,5,6
7,26,28,33,44,2,5
10,23,31,34,43,5,12
20,25,27,30,44,8,11
4,9,24,33,36,2,4
4,19,26,33,43,4,5
4,9,30,31,33,5,8
7,13,18,30,39,6,10
10,14,21,26,39,8,10
2,5,26,39,47,2,7
30,32,33,39,44,7,9
20,22,23,25,33,5,10
6,26,29,43,48,6,11
2,14,16,43,47,3,11
11,33,34,43,48,1,12
3,25,33,48,50,1,4
9,10,25,26,32,11,12
14,29,41,42,47,4,6
14,25,26,44,47,1,7
6,7,23,32,33,10,11
3,18,28,30,31,2,4
10,17,23,26,44,4,7
8,28,31,43,50,8,10
4,15,39,46,47,1,12
7,11,12,41,46,6,12
4,11,30,33,38,8,12
8,11,25,30,47,5,7
27,30,32,43,47,5,10
11,29,34,36,40,2,12
4,19,23,26,47,10,12
23,26,34,47,50,1,2
9,19,29,30,50,5,8
2,4,23,25,50,2,12
18,29,33,36,41,9,12
5,16,25,34,40,3,4
23,24,26,29,43,5,9
4,6,41,43,46,5,9
11,14,25,40,44,2,12
7,28,30,44,47,3,9
1,4,22,31,46,5,7
13,14,24,29,46,3,9
7,11,30,41,48,5,10
4,5,24,26,45,4,9
6,26,31,33,39,7,10
14,25,28,43,48,6,7
26,31,33,38,40,6,8
